MonsterId,Name,SpriteRUID,AttackRUID,AttackEffect,AttackSound,HitRUID,DieRUID,HPMult,ATKMult,DEFMult,StageType,Scale,AttackTarget
arma_minion,아르마의 부하,bfab32ff543343ba8aadb46a5072f01e,ccb1e3308825474b8d9f1852042287c2,867e0cec2bba4a11972cf920bd6fffbf,0417c829aadc4eabb5c10def117d1b83,c689a14d6f4e4184b57ec36acc9efc4c,11c4b172fb8f4463831be69f62acab45,0.8,1.2,0.0,Boss,1.0,front
yunana,유나나,69ae6a7173ae4759a834364f8881e4c5,3ac29afadbb9420aa4732b571caf2764,9826ec6a956d40e8bf35817d2adce000,135b0210968f476d879ddc4ab2e5a4e1,83751670512b4528bc8c49f9ee66e581,37aac88d86d84cc4b77c5a0e246be48a,1.0,1.0,0.0,Battle,1.0,front
ramnana,램나나,aae2cff94fff467dbaddbc81d6a9507a,033a9954fa2048ecaf4fc8aab4751070,515f18ef3c3546cc92293d33be9b542a,75195b9fa38e450aacfc9f12fb98a7f0,9b7c9c1921bf4014a1c4ee0b8bab540b,f0dff8c94ff8472c930c205216e37cb4,1.1,1.0,0.0,Battle,1.0,front
pinedeer,파인디어,e51dca6ffc474868af37c702d10e7fa2,a63230edc56e491087c4afdb252385a2,48a800afa1874730a5ff88df06e0b266,012913e04f3549628dce058d423d1ad0,59890233fc6b4195afe834582bf43ff5,5ca2fa55c0b94727b1852c270586c23d,1.0,1.1,0.0,Battle,1.0,front
bighorn_pinedeer,큰뿔 파인디어,a497f8be90cc485f831c17df7b961d86,9577d96337734823886eba2d76bfe82e,60c66b9869fb4558bda707ce312e0888,d66f148bd012499fa77e307ae5946867,29d805c729514d58a792b3cdec38af10,0b0d0b58135742a3b6a7c470ad12aa54,1.4,1.3,0.5,Battle,1.0,back
plion,플리온,9ec33be4630e41678ac814824d9784bb,76788b2f87e747beb83fb3d1043c764a,0cdae58f6ac34d60972ba3cc770b30f9,e3b4cb34f516455bafff1f963832f547,95f5bdc427cc435b8cb2b19e0dd91663,7b523e0b9c2f4b69a2381c1b0f9537d8,1.2,1.0,0.5,Battle,1.0,front
angry_plion,성난 플리온,2706297abdcd49bbbec557bc3b3066e5,5b881506b02e4640818c0afc0c5ee7b4,d7f1660b8a80424188eacdec237f3e34,c4ef1c9db91e4c6db142774fcf9e1708,ed46a3c6b78f4b639f9ab4eee505958f,74ec2dda1cca4900b203e7f6ad50219f,1.3,1.5,0.5,Battle,1.0,random
unripe_wolfroot,설익은 울프룻,a7682ca69173408c9be21e6142083d40,c011c6622d5c4bddb50d8b37f2cd8739,50512aa5b8294a9c988f3986b089c1bf,b31cc0d7cb9146aa8e7e75a21d28bc1e,32dce2ec74174968be4b385007baccf6,c0faa463dcef474585b6c5657ab2b6ee,1.5,0.9,1.0,Battle,1.0,front
ripe_wolfroot,맹독의 잘익은 울프룻,3d86d89ff06d4fd4b062e75ba65d28a3,e8876d1d4da74d8cb108e25eb25211ba,842dcc85febf4af4b26987479b7845af,57b1d0899ff1425b90585fcd14d746f9,28497d02385d4511b34316620197383d,818013d069d14ad6ae30f4e06e863536,1.6,1.4,1.0,Battle,1.0,back
green_catfish,그린 캣피쉬,9e00d5bdd9ae43ceab1f15d9a79e119f,f9a05a0ccda0439cba9d5ce9db85ed44,c45732ec6c174123982b60a64a5aac8c,bbc84556f0394268b99bd0c8c1d3f691,f00d98de158e40f5a07802629cf4d3c1,363d43a68cce450992e87f904a3c6afc,1.2,1.2,0.5,Elite,1.0,front
blue_catfish,블루 캣피쉬,86978c4e58704d3d896029390fd58a32,3a6cd9ba6b5347ff94d3bbe7c4e957e8,c32ae58a463d43c9be2394af018713a7,83a2678d062a4549a8dd1a9eb3eb9dc3,70c87d43e2d04857b14af0d3a6d40e66,03e23b86004b4f2fa59f97979b8ae351,1.3,1.3,0.5,Elite,1.0,back
lightturtle,라이터틀,9b13edc319b843c1ba9a8feca276a645,b8380f86ecef49a398aa17ba04b86dcf,1ef4c0aed0934c19ad807402ca4dd505,ead8a2b43479437da979d3bd93ad0e3b,58a67e137b2840baa8c49f734e1c1f66,7a8904dfd16a4c6d953e16470555a65d,1.8,0.9,2.0,Elite,1.0,front
chief_lightturtle,대장 라이터틀,cdd423fef1664f0088c5fd5035bf0c7b,48c4bad7cd684437badd6b0cc3235e99,cf41bf92ede74ed790378a7542a25529,e88bb8e972654f0ca96c933e36c72d8c,807be5109619457bb907b9321d6a2033,6b6279921f544c8686f007221010e74c,2.2,1.2,2.5,Elite,1.0,front
krilla,크릴라,5d7fbac40f2241fc97aebf61d0f75927,803c1dddac554ccc8cc98c5263669705,520c08c7ec3b4cc2a26a5c0b08d9b2bd,ee999dc87faa47269a943cc87ff03e98,df1a0a4acd6e401fac04922c34040977,607a097574aa42f0a3ccfaccbe9e45a6,1.4,1.3,0.5,Battle,1.0,front
chief_krilla,족장 크릴라,ce68637fe83043369b0559d47349934c,40c2f296967c4002af7df6c96692b851,d7fbdf023ff649e58ea92791057e134b,ed8b479df4764de780393d0d4147e475,9175b343bfa54a9496659408b3d7d9c1,5f68c7493e564db8b0f4f36afb21d8cd,1.7,1.6,1.0,Battle,1.0,random
bershark,버샤크,a7e400d73684414c82afced44e5d244c,e1588dd6909b48f6bc2032e8ff5b0df5,42fd20996679458a8b88fc1387320f9f,c24ea38fe145472f978123201883299d,7f431dd3d3264eb3a5b7184c0be06532,ca3d51f7e2884bed887620bf6a244440,1.5,1.5,0.5,Battle,1.0,back
chief_bershark,족장 버샤크,9cb1fe023a8a44079a96cb7e0c0b64b6,29afc69636ba4d8081ab5aba97857c6d,c9a5d64c1eb745be9222114cdd8c5f02,4786d95bce0e4397ab13cbe004f7c62e,8e4e6c1b50a54ad190dc8e8eab6ccf02,d6bc922126e5450bb8167c88932fc3c6,1.9,1.8,1.0,Battle,1.0,back
churup_tree,츄릅나무,26cc17377e634e89bc0f1d02e23cf5ad,b113198598cf43ba89b31d2fb517d3c6,10b714ef5c504884aa3e479041775cff,90a873fffc75468f96eab1534a87c524,9f2f879325324e62ba39d0d4e4d43293,0dc33de1b86b4e6db932c8534fd4fa9f,2.5,2.0,1.0,Boss,0.6,front
water_spirit,물의 정령,dea8ae4bd5bc46a4b32b338e297d166c,c85521c00fe148e2ade6326c74a89d94,69b285d0dd054a4d8586c20f44463ef0,d274c3eae03d459f9e7009ea2ab2f32b,38f4bd226f6d4e619bb19e67d2b8fb0f,bec3fc17221143d99d76254af4f6943b,1.2,1.0,0.5,Battle,1.0,front
sun_spirit,햇살의 정령,c1ea490e09954a88b590cfa80ed3be6e,88f489e887a04e88a4c07526064c494b,3a5ac17704c44f7098a37495d1adf6ba,0bb1445da0db4a908f74f22853098906,329b1d1aa92d4c95aba8adeb5a6934d7,fe9899d9f8334dd9bcbff8441145cd56,1.0,1.2,0.0,Battle,1.0,front
earth_spirit,흙의 정령,e156a3cd7c20466b8f8d7babce521e71,ceaecc7b4b1c475ebcef0cb530fb1b1d,e3a427fa974148acaaa3019bdf578453,f6f80ff49d1d458eb1d2ae7ac11c2892,10eee0a603f54e35abe5fb093fb2f6d4,0925d1f924ef43be983c057fa48738e7,1.6,0.8,2.0,Battle,1.0,front
frostcloud_spirit,서리구름의 정령,3d49e4e7566b45df9ce855b0e0ff4906,9d1edb5fe50d4211a37785ce7f2cfdd9,acab043bb4dd4e65b3c12b6d5199057c,ccc0e4311d8a4f5d8d60bf69218d23e7,2aa3a00565564af784c871f1efdd4689,a6ec2ffed47140d88fe1fad26f0b9d5e,1.3,1.1,0.5,Battle,1.0,front
thundercloud_spirit,번개구름의 정령,a2e35e4f0e2a4d7288e3879fae5f44cc,ac96b4c558e3472b869914808722cfd3,88bfc550b31747a0b83fca453341e765,bdb2d2ff08b14f60ae03bfa2e38688a1,e44786e11dab4b59b072ec1abc9b59bf,525731a67d994a4c91179f5711128af1,1.0,1.5,0.0,Battle,1.0,back
poison_spirit,맹독의 정령,07745c0882eb44278962905e3da82c56,f0a709e7c0e24b86a7a5dbdc2369313c,b88690bcf2494cb2b779ea9d0fee283a,43dde4d0baa546beb3f928c684225060,9a403b0a6ef245a5b2ae1e921f290c15,5ff8cefa454d4bd68931ee634c7ee7ef,1.4,1.3,0.5,Elite,1.0,random
blast_spirit,폭발의 정령,a8ad9cacecaa486aaaac0e204066c68e,56a468c191584bd9962718f4dff9e67b,d10c51d01827411d9afb97ad077e579d,7958167b69d248c494d50ed189c36d94,0e92ec5987dd4c2cb7a40972a3ca9354,9293103159f94c59945d6dbdc95cb583,1.1,1.9,0.0,Elite,1.0,back
chaos_spirit,혼돈의 정령,f3a8358f9e2045c49e79e0de4882d5c5,c9c8ba52bd834717aa78a93e9b25aa7a,ad40eb794ccc4c2899767c8f2d4ee666,8aa13b3b12454bf9afd3def945eff510,0d7355f686e54aef970e1967b9483a7f,afb7875ddc874b64b5ee8d93f158ecee,1.5,1.4,0.5,Battle,1.0,random
despair_spirit,절망의 정령,cd511f89e44e4e43b716433a479e0764,b0721e834ada4857ac1810b3bf2727fd,95c36d4d509f43289bb870d5c6f04866,dc9a1465d9cc44c3b374fdf73ad0201f,4c5744b7aa5b457a87f9258cf84aadbb,f0597d9be8c44e68be5b38f2ec721812,1.7,1.2,1.0,Battle,1.0,front
grief_spirit,비탄의 정령,7f79d64c1bab49c0ba0ea40ec5edb272,261b1743e0d947a2a1075db0797b2f2a,d8858afe36364d3daa2aa9f80caf88d8,04b45c2cf8a14d5cade09225ccaacacc,c47b38e7f832417491669b78368e26d3,80f5e7eae38a41f4baec2318c41fefea,1.4,1.6,0.5,Battle,1.0,back
discord_spirit,부조화의 정령,c450cf88e3a34f7488f16690e6a17896,d612e14598d44ca986d2dee34205f5d0,1d26a219df454dad9b110978ee2c9319,8dbd1fefc8074345b0222bc427ff5c94,a4a64cb6920e4edc8c001d3183aa08c4,aa11c9f39cd143b3b6a651bed2d1b573,1.8,1.7,1.0,Battle,1.0,random
weakened_harmony_spirit,악화된 조화의 정령,659b0fda60ca4b63ae197c2634d647e7,61e8a3402349438982cb0f7bf49f3363,43b9f010df184c3f91dc3e25840f4bc0,001931feb8f6433cb0736609801d01fb,5dbe572f13fc47f891647bd0e14c3206,1725b0727efe4797bd3c8251068fa035,2.5,2.0,1.0,Boss,0.4,front
veritate,베리타테,c509e8573aa24ed5aaf62b330c947735,0e3fe9bc83a74e889e87d7ccc5283d25,,16638123f2b24705a3bb77b73ff7ca01,bd29a4354ede4b20b233580e8b061760,f6e4568e0cfa4e9c86190d4f535eacf0,1.3,1.1,0.5,Battle,1.0,front
polar,뽈라르,93945cf376224beb964649bac796c0be,64a2bdcd34aa4e9ba939ffa0d923dad0,,83792e51a35c43299f3dbb90766ab55c,b023d322d7af4ea3b7d9cdeb60af1436,adb6bffaf4114fa789d63dc2d5cb56e0,1.2,1.3,0.0,Battle,1.0,front
badareli,바다렐이,6eba9936112048f08382dcd89a04bfc1,430d80957cbf4fd198817dd061614e0b,,bde6a998a5f847e1bf70a23696e78dca,1b5cef3ca72b448298b9fc3228f3ac88,5a8af455d99c423d9562af70b83eff82,1.4,1.0,1.0,Battle,1.0,back
hyades,히아데스,bc4f5fb388d14f2f9b9a416df558af06,9e8c647e25c746648c2a0ecd42dd1de7,,9ebbdd3d75d1454d995c98d36460286b,2a5a3a0b9a804bc2b2c1218ac7491c39,1141a85885cc4ab4a9eaf79ad69aa5d2,1.5,1.4,0.5,Elite,1.0,random
denebola,데네볼라,391ba8656bf945159cb6becb39389472,548862691f4f44029ed82b23bae33594,,f06f682de37543c9b391c32963598984,ecaaa360cfc243d3ad93c57924c4a126,7eb7fb9b4a81410289bce289cb1af5c7,1.3,1.6,0.5,Elite,1.0,back
lily_borea,릴리 보레아,582ece7318fa42fe87d69868c6e3c779,0ff881c0ab0c46cabc6cdfb725b23dcb,,9755311e159d49ccacc97f68b0f77f45,b60a0d1372e14a47bf14d2a043011201,e7926beb05b64449aa2f7f4e8efa85cf,1.7,1.3,1.0,Battle,1.0,front
angelus,안젤루스,3aacaa020f45457abbc333e97f870ccd,270db1bd9d4047479c22e94af5c63acf,,c79f7bcb51aa4303b876ef2739fc3696,e2ab51a425d24fee861e5c55747c5f62,ff5dbba14d924b759e2a3ec889e839c0,1.6,1.7,1.0,Battle,1.0,random
adoratio,아도라티오,5be025a4d4634546b9bb05a5e1738c97,5da345ed83f44d5fa63cf228c95b27bf,,9e49afcc90784ba4a336aefcd8a25e4f,213448a1d4e84fb68ab2ef993de7b6cb,4fcfb7e2d4fe489296cc1af80aeb8673,2.5,2.0,1.0,Boss,0.55,front
